brand,product_id,catalog_number
ACME,884434,AE010050
ACME,884436,AE010050F2
ACME,884439,AE010075
ACME,884440,AE010075F2
ACME,884442,AE010100
ACME,884445,AE010150
ACME,884450,AE010350
ACME,884451,AE010350F3
ACME,884456,AE010750
ACME,884463,AE020075
ACME,884466,AE020100
ACME,884469,AE020150
ACME,884474,AE020250
ACME,884479,AE020300
ACME,884482,AE020350
ACME,884497,AE030075
ACME,884500,AE030150
ACME,884503,AE030250
ACME,884506,AE030350
ACME,884511,AE030500F3
ACME,884513,AE030750
ACME,884519,AE060075
ACME,884534,AE060350
ACME,884539,AE060500F3
ACME,884541,AE060750
ACME,884546,AE070050
ACME,884550,AE070100
ACME,884554,AE070150
ACME,884575,AE120050
ACME,884578,AE120100
ACME,884582,AE120150
ACME,884583,AE120250
ACME,884591,ALRB002LWE
ACME,884593,ALRB002TBC
ACME,884594,ALRB003LWE
ACME,884596,ALRB003TBC
ACME,884598,ALRB004LWE
ACME,884601,ALRB006LWE
ACME,884602,ALRB006TBC
ACME,884604,ALRB008LWE
ACME,884606,ALRB008TBC
ACME,884607,ALRB012LWE
ACME,884609,ALRB012TBC
ACME,884611,ALRB016LWE
ACME,884612,ALRB016TBC
ACME,884614,ALRB025LWE
ACME,884616,ALRB025TBC
ACME,884619,ALRB027TBC
ACME,884620,ALRB035LWE
ACME,884622,ALRB035TBC
ACME,884624,ALRB045LWE
ACME,884625,ALRB045TBC
ACME,884627,ALRB055LWE
ACME,884629,ALRB055TBC
ACME,884630,ALRB080LWE
ACME,884634,ALRB110CBC
ACME,884636,ALRB110LWE
ACME,884637,ALRB130CBC
ACME,884639,ALRB130LWE
ACME,884640,ALRB160CBC
ACME,884642,ALRB160LWE
ACME,884644,ALRB200CBC
ACME,884646,ALRB250CBC
ACME,884647,ALRB300CBC
ACME,884649,ALRB360CBC
ACME,884650,ALRB420CBC
ACME,884652,ALRB480CBC
ACME,884655,ALRC002LWE
ACME,884657,ALRC002TBC
ACME,884658,ALRC003LWE
